"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"test.nlogo"
"ZombiesVsHumans_100Humans"
"10/17/2025 01:42:44:523 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","force-stop","simulation-time","num-humans","num-zombies","max-group-size","[step]","count humans","count zombies","human-deaths-combat","zombie-deaths","ticks","initial-loners","initial-groupers","alive-loners","alive-groupers"
"7","true","10000","100","10","6","10000","63","11","0","36","10000","57","43","40","23"
"12","true","10000","100","10","10","10000","85","6","0","19","10000","47","53","43","42"
"11","true","10000","100","10","10","10000","80","8","0","22","10000","55","45","45","35"
"6","true","10000","100","10","6","10000","87","1","0","22","10000","43","57","41","46"
"14","true","10000","100","10","10","9352","84","0","0","26","9352","54","46","49","35"
"4","true","10000","100","10","2","10000","85","5","0","20","10000","51","49","46","39"
"8","true","10000","100","10","6","10000","86","7","0","17","10000","53","47","49","37"
"2","true","10000","100","10","2","10000","77","8","0","25","10000","53","47","42","35"
"16","true","10000","100","10","14","8600","89","0","0","21","8600","40","60","34","55"
"5","true","10000","100","10","2","10000","88","7","0","15","10000","50","50","46","42"
"1","true","10000","100","10","2","10000","96","2","0","12","10000","55","45","54","42"
"13","true","10000","100","10","10","10000","92","4","0","14","10000","53","47","51","41"
"15","true","10000","100","10","10","10000","84","4","0","22","10000","51","49","47","37"
"9","true","10000","100","10","6","10000","88","3","0","19","10000","48","52","44","44"
"3","true","10000","100","10","2","10000","82","5","0","23","10000","49","51","40","42"
"10","true","10000","100","10","6","10000","88","5","0","17","10000","45","55","41","47"
"17","true","10000","100","10","14","10000","70","6","0","34","10000","43","57","34","36"
"18","true","10000","100","10","14","10000","79","8","0","23","10000","45","55","41","38"
"20","true","10000","100","10","14","10000","75","12","0","23","10000","53","47","44","31"
"19","true","10000","100","10","14","10000","89","4","0","17","10000","47","53","46","43"
"22","true","10000","100","10","18","10000","81","4","0","25","10000","47","53","43","38"
"21","true","10000","100","10","18","10000","83","2","0","25","10000","52","48","45","38"
"27","true","10000","100","10","20","10000","84","6","0","20","10000","42","58","38","46"
"26","true","10000","100","10","20","10000","76","7","0","27","10000","40","60","32","44"
"24","true","10000","100","10","18","10000","86","5","0","19","10000","50","50","43","43"
"32","true","10000","100","25","2","10000","52","25","0","48","10000","52","48","27","25"
"23","true","10000","100","10","18","10000","90","2","0","18","10000","59","41","56","34"
"31","true","10000","100","25","2","10000","60","14","0","51","10000","54","46","40","20"
"25","true","10000","100","10","18","10000","85","4","0","21","10000","59","41","55","30"
